Page: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/green-college-dining-society-2 | Image: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/sites/default/files/pictures/GCDSStaff/Carolina150px.jpg | Status: 404 | Alt: Carolina Sartor
Page: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/meet-lorien-nesbitt-assistant-professor-urban-forestry-green-college-leading-scholar-2019-21 | Image: https://forestry-profiles.sites.olt.ubc.ca/wp-content/plugins/profile-cct/img/linked-in.png | Status: 404 | Alt: 
Page: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/meet-lorien-nesbitt-assistant-professor-urban-forestry-green-college-leading-scholar-2019-21 | Image: https://forestry-profiles.sites.olt.ubc.ca/wp-content/plugins/profile-cct/img/twitter.png | Status: 404 | Alt: 
Page: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2002 | Image: http://greencollege.dp7prod.webi.it.ubc.ca/sites/default/files/civicrm/persist/contribute/images/Elvis150px.jpg | Error: request to http://greencollege.dp7prod.webi.it.ubc.ca/sites/default/files/civicrm/persist/contribute/images/Elvis150px.jpg failed, reason: getaddrinfo ENOTFOUND greencollege.dp7prod.webi.it.ubc.ca | Alt: 
Page: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2940 | Image: https://greencollege.ubc.ca/sites/default/files/civicrm/persist/contribute/images/Beth-Davenport-2023.heic | Status: 404 | Alt: 
Page: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3000 | Image: https://greencollege.ubc.ca/sites/default/files/civicrm/persist/contribute/images/Canada_2023_GreenCollege_April12-v2.pdf | Status: 404 | Alt: 
Page: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/style-guide | Image: http://placehold.it/350x150 | Error: request to https://www.placeholder.com/350x150 failed, reason: getaddrinfo ENOTFOUND www.placeholder.com | Alt: Placeholder Image and Some Alt Text
Page: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/style-guide | Image: http://placehold.it/350x150 | Error: request to https://www.placeholder.com/350x150 failed, reason: getaddrinfo ENOTFOUND www.placeholder.com | Alt: A placeholder figure image.
Page: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/welcome-green-college | Image: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/sites/default/files//pictures/welcomecommitteepage | Status: 404 | Alt: Sereana and Victoria
Page: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/life-beyond-lecture-hall-0 | Image: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/sites/default/files//pictures/JohnGilbert320.jpg | Status: 404 | Alt: John Gilbert
Page: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/leading-scholars-2014-15 | Image: https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/sites/default/files//pictures/gcleadingscholars/2014-2015/EfratArbel.jpg | Status: 404 | Alt: Efrat Arbel
